 Episode: 5309, Total Reward: 3.0, Steps: 266, 10-Window_Average: 1.3
 Episode: 5310, Total Reward: 0.0, Steps: 125, 10-Window_Average: 1.2
 Episode: 5311, Total Reward: 1.0, Steps: 172, 10-Window_Average: 1.0
 Episode: 5312, Total Reward: 2.0, Steps: 222, 10-Window_Average: 1.1
 Episode: 5313, Total Reward: 1.0, Steps: 151, 10-Window_Average: 1.2
 Episode: 5314, Total Reward: 1.0, Steps: 152, 10-Window_Average: 1.1
 Episode: 5315, Total Reward: 1.0, Steps: 170, 10-Window_Average: 1.2
 Episode: 5316, Total Reward: 1.0, Steps: 170, 10-Window_Average: 1.1
 Episode: 5317, Total Reward: 0.0, Steps: 125, 10-Window_Average: 1.0
 Episode: 5318, Total Reward: 0.0, Steps: 125, 10-Window_Average: 1.0
 Episode: 5319, Total Reward: 1.0, Steps: 153, 10-Window_Average: 0.8
 Episode: 5320, Total Reward: 0.0, Steps: 123, 10-Window_Average: 0.8
 Episode: 5321, Total Reward: 1.0, Steps: 152, 10-Window_Average: 0.8
 Episode: 5322, Total Reward: 1.0, Steps: 170, 10-Window_Average: 0.7
 Episode: 5323, Total Reward: 0.0, Steps: 123, 10-Window_Average: 0.6
 Episode: 5324, Total Reward: 3.0, Steps: 226, 10-Window_Average: 0.8
 Episode: 5325, Total Reward: 0.0, Steps: 123, 10-Window_Average: 0.7
 Episode: 5326, Total Reward: 3.0, Steps: 245, 10-Window_Average: 0.9
 Episode: 5327, Total Reward: 0.0, Steps: 124, 10-Window_Average: 0.9
 Episode: 5328, Total Reward: 1.0, Steps: 173, 10-Window_Average: 1.0
