date-time,episode,total_steps,reward,pid,steps,avg_loss,value_net,target_net,epsilon
2022/12/26-15:06:08,5130,10329,7.0,29496,94,0.029366,-1898.5263671875,-1854.53564453125,0.43933333333333363
2022/12/26-15:06:08,5131,10345,4.0,29497,72,0.032562,-1898.40283203125,-1854.53564453125,0.4425
2022/12/26-15:06:08,5132,10360,6.0,29500,86,0.024931,-1898.7659912109375,-1854.53564453125,0.4400833333333335
2022/12/26-15:06:10,5133,10429,9.0,29498,124,0.028770,-1898.14794921875,-1854.53564453125,0.44125000000000014
2022/12/26-15:06:13,5134,10557,4.0,29499,75,0.035639,-1897.5758056640625,-1854.53564453125,0.4433333333333332
2022/12/26-15:06:18,5135,10744,7.0,29495,96,0.025282,-1899.8980712890625,-1854.53564453125,0.4406666666666668
2022/12/26-15:06:19,5136,10799,3.0,29501,64,0.022834,-1901.7237548828125,-1854.53564453125,0.438666666666667
2022/12/26-15:06:20,5137,10832,2.0,29498,50,0.027847,-1901.42236328125,-1854.53564453125,0.4406666666666668
2022/12/26-15:06:20,5138,10838,3.0,29497,60,0.033470,-1901.956298828125,-1854.53564453125,0.442
2022/12/26-15:06:22,5139,10919,5.0,29496,76,0.029395,-1901.7889404296875,-1854.53564453125,0.438666666666667
2022/12/26-15:06:22,5140,10919,3.0,29500,62,0.024792,-1902.2362060546875,-1854.53564453125,0.43950000000000017
2022/12/26-15:06:22,5141,10922,1.0,29499,47,0.035467,-1901.9542236328125,-1854.53564453125,0.4429166666666665
2022/12/26-15:06:23,5142,10932,7.0,29502,96,0.031476,-1901.7186279296875,-1854.53564453125,0.4400833333333335
2022/12/26-15:06:30,5143,11236,3.0,29501,61,0.022668,-1893.291015625,-1854.53564453125,0.43800000000000033
2022/12/26-15:06:31,5144,11257,3.0,29498,59,0.027610,-1892.979248046875,-1854.53564453125,0.4400833333333335
2022/12/26-15:06:32,5145,11333,3.0,29495,65,0.024691,-1893.7093505859375,-1854.53564453125,0.4400833333333335
2022/12/26-15:06:34,5146,11413,4.0,29497,76,0.032806,-1895.4990234375,-1854.53564453125,0.4415
2022/12/26-15:06:35,5147,11443,2.0,29496,60,0.028983,-1896.8455810546875,-1854.53564453125,0.43800000000000033
2022/12/26-15:06:35,5148,11453,3.0,29500,64,0.023925,-1897.765625,-1854.53564453125,0.43891666666666684
2022/12/26-15:06:37,5149,11511,4.0,29502,73,0.031293,-1899.2548828125,-1854.53564453125,0.43950000000000017
2022/12/26-15:06:41,5150,11676,6.0,29499,94,0.036160,-1902.311767578125,-1854.53564453125,0.44249999999999984
2022/12/26-15:06:42,5151,11743,3.0,29498,57,0.027207,-1901.6993408203125,-1854.53564453125,0.43950000000000017
2022/12/26-15:06:44,5152,11773,1.0,29497,47,0.032823,-1901.3709716796875,-1854.53564453125,0.441
2022/12/26-15:06:47,5153,11915,5.0,29501,86,0.021835,-1899.166748046875,-1854.53564453125,0.4373333333333337
2022/12/26-15:06:53,5154,12152,3.0,29499,60,0.035065,-1897.451416015625,-1854.53564453125,0.44208333333333316
2022/12/26-15:06:55,5155,12219,6.0,29502,99,0.032681,-1899.065673828125,-1854.53564453125,0.43891666666666684
2022/12/26-15:06:56,5156,12251,8.0,29496,104,0.028176,-1899.8477783203125,-1854.53564453125,0.4373333333333337
2022/12/26-15:06:57,5157,12310,7.0,29500,98,0.022885,-1901.644287109375,-1854.53564453125,0.4383333333333335
2022/12/26-15:06:58,5158,12342,4.0,29498,74,0.026253,-1902.2491455078125,-1854.53564453125,0.43891666666666684
2022/12/26-15:07:00,5159,12429,2.0,29501,57,0.021726,-1904.481201171875,-1854.53564453125,0.43666666666666704
2022/12/26-15:07:00,5160,12445,6.0,29497,88,0.032547,-1905.0830078125,-1854.53564453125,0.4405
2022/12/26-15:07:01,5161,12470,11.0,29495,145,0.025283,-1904.914794921875,-1854.53564453125,0.43950000000000017
2022/12/26-15:07:07,5162,12724,2.0,29500,53,0.022809,-1904.3798828125,-1854.53564453125,0.4377500000000002
2022/12/26-15:07:07,5163,12724,4.0,29499,74,0.034599,-1904.181396484375,-1854.53564453125,0.4416666666666665
2022/12/26-15:07:12,5164,12937,7.0,29501,66,0.022700,-1900.4197998046875,-1854.53564453125,0.4360000000000004
2022/12/26-15:07:13,5165,12944,7.0,29497,65,0.033098,-1899.8563232421875,-1854.53564453125,0.44
2022/12/26-15:07:13,5166,12990,6.0,29496,92,0.027588,-1902.3878173828125,-1854.53564453125,0.43666666666666704
2022/12/26-15:07:14,5167,12993,9.0,29502,90,0.033344,-1901.6549072265625,-1854.53564453125,0.4383333333333335
2022/12/26-15:07:15,5168,13039,5.0,29498,86,0.025486,-1901.6639404296875,-1854.53564453125,0.4383333333333335
2022/12/26-15:07:18,5169,13178,3.0,29499,60,0.034838,-1906.907958984375,-1854.53564453125,0.4412499999999998
